# Combined Schaefer-200 + Tian Scale I (S1) — 216 regions
# Index  Label                                            Atlas
  1      7Networks_LH_Vis_1                               Schaefer200_Yeo7
  2      7Networks_LH_Vis_2                               Schaefer200_Yeo7
  3      7Networks_LH_Vis_3                               Schaefer200_Yeo7
  4      7Networks_LH_Vis_4                               Schaefer200_Yeo7
  5      7Networks_LH_Vis_5                               Schaefer200_Yeo7
  6      7Networks_LH_Vis_6                               Schaefer200_Yeo7
  7      7Networks_LH_Vis_7                               Schaefer200_Yeo7
  8      7Networks_LH_Vis_8                               Schaefer200_Yeo7
  9      7Networks_LH_Vis_9                               Schaefer200_Yeo7
  10     7Networks_LH_Vis_10                              Schaefer200_Yeo7
  11     7Networks_LH_Vis_11                              Schaefer200_Yeo7
  12     7Networks_LH_Vis_12                              Schaefer200_Yeo7
  13     7Networks_LH_Vis_13                              Schaefer200_Yeo7
  14     7Networks_LH_Vis_14                              Schaefer200_Yeo7
  15     7Networks_LH_SomMot_1                            Schaefer200_Yeo7
  16     7Networks_LH_SomMot_2                            Schaefer200_Yeo7
  17     7Networks_LH_SomMot_3                            Schaefer200_Yeo7
  18     7Networks_LH_SomMot_4                            Schaefer200_Yeo7
  19     7Networks_LH_SomMot_5                            Schaefer200_Yeo7
  20     7Networks_LH_SomMot_6                            Schaefer200_Yeo7
  21     7Networks_LH_SomMot_7                            Schaefer200_Yeo7
  22     7Networks_LH_SomMot_8                            Schaefer200_Yeo7
  23     7Networks_LH_SomMot_9                            Schaefer200_Yeo7
  24     7Networks_LH_SomMot_10                           Schaefer200_Yeo7
  25     7Networks_LH_SomMot_11                           Schaefer200_Yeo7
  26     7Networks_LH_SomMot_12                           Schaefer200_Yeo7
  27     7Networks_LH_SomMot_13                           Schaefer200_Yeo7
  28     7Networks_LH_SomMot_14                           Schaefer200_Yeo7
  29     7Networks_LH_SomMot_15                           Schaefer200_Yeo7
  30     7Networks_LH_SomMot_16                           Schaefer200_Yeo7
  31     7Networks_LH_DorsAttn_Post_1                     Schaefer200_Yeo7
  32     7Networks_LH_DorsAttn_Post_2                     Schaefer200_Yeo7
  33     7Networks_LH_DorsAttn_Post_3                     Schaefer200_Yeo7
  34     7Networks_LH_DorsAttn_Post_4                     Schaefer200_Yeo7
  35     7Networks_LH_DorsAttn_Post_5                     Schaefer200_Yeo7
  36     7Networks_LH_DorsAttn_Post_6                     Schaefer200_Yeo7
  37     7Networks_LH_DorsAttn_Post_7                     Schaefer200_Yeo7
  38     7Networks_LH_DorsAttn_Post_8                     Schaefer200_Yeo7
  39     7Networks_LH_DorsAttn_Post_9                     Schaefer200_Yeo7
  40     7Networks_LH_DorsAttn_Post_10                    Schaefer200_Yeo7
  41     7Networks_LH_DorsAttn_FEF_1                      Schaefer200_Yeo7
